seq,dinov2,siglip,weakmetric,dinov2_pct,siglip_pct,weakmetric_pct,ensemble_pct,video,camera,start_frame,end_frame,n_dets,avg_conf
3211,0.6692615747451782,0.5260891318321228,0.5888903141021729,0.952054794520548,0.14383561643835616,0.6438356164383562,0.5799086757990867,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,33487,33786,300,0.912088
6879,0.5946053266525269,0.5559879541397095,0.6219947338104248,0.678082191780822,0.3150684931506849,0.7465753424657534,0.5799086757990867,vlincs_MS01_MC0001_MCAM05_2024-03-Tc8,MCAM05,26393,26690,298,0.829477
843,0.5301836133003235,0.5850609540939331,0.6511801481246948,0.4452054794520548,0.4589041095890411,0.821917808219178,0.5753424657534246,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,21230,21529,300,0.913183
3364,0.6285238265991211,0.5889160633087158,0.5385807752609253,0.821917808219178,0.4794520547945205,0.4178082191780822,0.5730593607305936,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,34990,35084,84,0.623243
8788,0.6052906513214111,0.6904333829879761,0.410786509513855,0.7397260273972602,0.8698630136986302,0.1095890410958904,0.5730593607305936,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,32915,33214,300,0.822369
8833,0.6319631338119507,0.6363308429718018,0.4372893273830414,0.8493150684931506,0.7123287671232876,0.1506849315068493,0.5707762557077626,vlincs_MS01_MC0001_MCAM08_2024-03-Tc6,MCAM08,33215,33504,290,0.897586
805,0.6248771548271179,0.5980817079544067,0.526222825050354,0.8082191780821918,0.5136986301369864,0.3767123287671233,0.5662100456621005,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,19730,20029,300,0.920386
2822,0.6057894825935364,0.6595818996429443,0.4461720585823059,0.7534246575342466,0.7876712328767124,0.15753424657534246,0.5662100456621005,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,18359,18406,40,0.565932
3188,0.5111950039863586,0.5889028310775757,0.6536417603492737,0.3904109589041096,0.4726027397260274,0.8356164383561644,0.5662100456621005,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,33187,33486,300,0.861312
4916,0.6674878597259521,0.6104735136032104,0.4321803152561188,0.9452054794520548,0.589041095890411,0.136986301369863,0.5570776255707762,vlincs_MS01_MC0001_MCAM04_2024-03-Tc6,MCAM04,44389,44619,172,0.621602
991,0.6169067621231079,0.6813936233520508,0.30089718103408813,0.7808219178082192,0.8493150684931506,0.0273972602739726,0.5525114155251142,vlincs_MS01_MC0001_MCAM03_2024-03-Tc6,MCAM03,22919,23218,276,0.460442
7216,0.6267732381820679,0.5821462869644165,0.5303468704223633,0.815068493150685,0.4383561643835616,0.3904109589041096,0.547945205479452,vlincs_MS01_MC0001_MCAM06_2024-03-Tc8,MCAM06,24357,24656,300,0.905543
